possessionTime_diff,turnovers_diff,yardsPerRushAttempt_diff,rushingYards_diff,yardsPerPass_diff,netPassingYards_diff,totalYards_diff,firstDowns_diff,tacklesForLoss_diff,sacks_diff,qbHurries_diff,passesDeflected_diff,thirdDown%_diff,home_win
-834,0.0,-1.6999999999999995,-105.0,-0.5999999999999996,-26.0,-131.0,-3.0,-1.0,-1.0,-1.0,3.0,-0.2217194570135746,0
42,1.0,-0.3000000000000007,-26.0,-3.4000000000000004,62.0,36.0,4.0,1.0,1.0,-1.0,-3.0,0.0909090909090908,1
276,-2.0,-1.6000000000000003,-27.0,1.5,30.0,3.0,-1.0,2.0,3.0,0.0,3.0,-0.0808823529411764,1
-256,-1.0,-0.7000000000000002,-29.0,0.0999999999999996,-34.0,-63.0,-2.0,1.0,0.0,0.0,2.0,-0.0649350649350649,1
-590,0.0,-0.9000000000000004,-77.0,0.4000000000000003,24.0,-53.0,-4.0,3.0,-1.0,0.0,2.0,-0.0862745098039216,0
-12,-1.0,1.2000000000000002,84.0,1.7999999999999998,-44.0,40.0,-1.0,3.0,0.0,1.0,-4.0,-0.2897727272727273,0
680,2.0,1.1999999999999995,102.0,5.8,145.0,247.0,5.0,3.0,4.0,1.0,7.0,0.1825396825396825,1
-342,-1.0,0.0,-23.0,-0.7000000000000002,34.0,11.0,-2.0,-2.0,-1.0,1.0,0.0,-0.2261904761904762,0
608,0.0,0.2000000000000001,13.0,2.5,237.0,250.0,14.0,-4.0,2.0,0.0,0.0,0.0672268907563025,0
-110,0.0,0.3000000000000002,-11.0,-2.0,28.0,17.0,6.0,2.0,3.0,-3.0,-1.0,0.0039215686274509,0
76,0.0,1.0,-78.0,0.0999999999999996,58.0,-20.0,-2.0,2.0,0.0,1.0,1.0,-0.1875,0
464,-2.0,1.0000000000000002,52.0,-1.0,3.0,55.0,7.0,-2.0,-3.0,1.0,0.0,-0.1085972850678733,1
116,0.0,-0.1999999999999997,-17.0,-0.0999999999999996,-58.0,-75.0,-3.0,2.0,0.0,1.0,3.0,0.108359133126935,1
-272,-1.0,-1.2999999999999998,-82.0,1.5,82.0,0.0,0.0,3.0,1.0,-2.0,-1.0,-0.0666666666666666,1
-114,1.0,1.2999999999999998,36.0,-2.1000000000000005,-56.0,-20.0,5.0,0.0,0.0,0.0,1.0,-0.1939393939393939,0
